time,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,temp_avg,rainy_day,windy_day,nice_temp,freeze_day,score
2026-04-01,11.9,0.3,0.0,20.5,6.1,False,True,False,False,1
2026-04-02,11.1,1.5,0.0,14.2,6.3,False,False,False,False,2
2026-04-03,11.9,0.2,0.0,21.7,6.0,False,True,False,False,1
2026-04-04,12.6,0.8,0.1,28.2,6.7,False,True,False,False,1
2026-04-05,19.1,1.2,0.3,26.7,10.2,False,True,False,False,1
2026-04-06,9.9,5.1,3.5,36.6,7.5,True,True,False,False,0
2026-04-07,8.4,3.9,1.2,33.7,6.2,True,True,False,False,0
2026-04-08,7.3,2.1,0.9,25.5,4.7,True,True,False,False,0
2026-04-09,6.2,-2.1,0.5,19.9,2.0,True,False,False,True,1
2026-04-10,7.3,-1.0,0.0,10.3,3.2,False,False,False,True,2
2026-04-11,9.8,-0.7,0.0,14.9,4.6,False,False,False,True,2
2026-04-12,12.6,-0.3,0.0,14.6,6.1,False,False,False,True,2
2026-04-13,12.5,2.0,0.0,25.5,7.2,False,True,False,False,1
2026-04-14,13.4,6.8,0.4,24.4,10.1,False,True,False,False,1
2026-04-15,15.2,7.6,0.0,15.4,11.4,False,False,False,False,2
